Document #,Store#,PO#,PO Date,Address1,City,State,Zip,Vendor #,Ship Date,Qty Sold,Unit of Measurement,Unit Price,UPC,Description,Document Total
108001,00002,POTest_108001_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100417,2,EA,6.75,726404010215,1 Gallon Shrub,139.15
107624,00002,POTest_107624_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,6.5,726404010550,Small Fruits--Berries etc.,126.7
107624,00002,POTest_107624_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,9.5,726404010680,Small Fruits--Berries etc.,126.7
107624,00002,POTest_107624_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,8.15,726404011038,1 Gallon Shrub,126.7
107624,00002,POTest_107624_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,8.15,726404011120,1 Gallon Shrub,126.7
107967,00002,POTest_107967_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,8,EA,8.15,726404011380,1 Gallon Shrub,129
107967,00002,POTest_107967_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,1,EA,8.15,726404011410,1 Gallon Shrub,129
107566,00002,POTest_107566_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100414,1,EA,8.15,726404011465,1 Gallon Shrub,24.6
107624,00002,POTest_107624_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,8.15,726404011649,1 Gallon Shrub,126.7
108001,00002,POTest_108001_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100417,2,EA,8.15,726404011649,1 Gallon Shrub,139.15
107624,00002,POTest_107624_00002,20100429,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,8.15,726404011670,1 Gallon Shrub,126.7
