Document #,Store#,PO#,PO Date,Address1,City,State,Zip,Vendor #,Ship Date,Qty Sold,Unit of Measurement,Unit Price,UPC,Description,Document Total
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100417,2,EA,6.75,726404010215,1 Gallon Shrub,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,6.5,726404010550,Small Fruits--Berries etc.,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,9.5,726404010680,Small Fruits--Berries etc.,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,8.15,726404011038,1 Gallon Shrub,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,8.15,726404011120,1 Gallon Shrub,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,8,EA,8.15,726404011380,1 Gallon Shrub,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,1,EA,8.15,726404011410,1 Gallon Shrub,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100414,1,EA,8.15,726404011465,1 Gallon Shrub,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,3,EA,8.15,726404011649,1 Gallon Shrub,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,8.15,726404011670,1 Gallon Shrub,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,8.15,726404011953,1 Gallon Vine,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,6.5,726404012998,Small Fruits--Berries etc.,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,1,EA,6.5,726404013001,Small Fruits--Berries etc.,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100414,70,EA,1.1,726404290006,1204 Annual /12ct tray,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,11,EA,1.1,726404290013,1204 Vegetable /12ct tray,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,10,EA,1.1,726404290105,1204 Peppers /12ct tray,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,6,EA,1.1,726404290204,1204 Tomatoes /12ct tray,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100417,4,EA,7.5,726404300156,Mini Flat,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,4,EA,1.25,726404382008,3 1/2" Tomatoes /12ct tray,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100417,2,EA,5.5,726404383029,306 Strawberry /3ct tray,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,2,EA,9.75,726404750005,10" Green Basket,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100415,5,EA,8,726404922044,Gallon Per--Lilies/Grasses,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100414,4,EA,3.25,726404926004,Quart Perennial /10ct tray,419.45
108001,00002,POTest_108001_00002,20100503,RR # 1 COUNTY TRUNK YZ,DODGEVILLE,WI,53533-0178,10301,20100416,1,EA,13.2,726404987128,1204 Annual /12ct tray,419.45
107567,00003,POTest_107567_00003,20100503,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100414,1,EA,6.75,726404010109,1 Gallon Shrub,2534.85
107567,00003,POTest_107567_00003,20100503,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,4,EA,6.75,726404010178,1 Gallon Shrub,2534.85
107567,00003,POTest_107567_00003,20100503,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100414,1,EA,6.75,726404010352,1 Gallon Shrub,2534.85
107567,00003,POTest_107567_00003,20100503,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,3,EA,8.15,726404010505,1 Gallon Vine,2534.85
107567,00003,POTest_107567_00003,20100503,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,9,EA,6.5,726404010529,Small Fruits--Berries etc.,2534.85
107567,00003,POTest_107567_00003,20100503,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,1,EA,8.15,726404010574,1 Gallon Shrub,2534.85
