RoadNet ID,Route Description,Route Start Date & Time,Stop Number,Delivery Arrival Time,Stop Departure Time,Delivery Time,Location ID,Invoice Number,Special Instructions,Store Open,Store Close,Window Open 1,Window Close 1,Window Open 2,Window Close 2,Carts,Delivery Size 2,Delivery Size 3,Pickup Size 1,Pickup Size 2,Pickup Size 3,Vehicle,Driver,Miles
1,ONLEY,3/17/2011 4:00,1,3/17/2011 8:01,3/17/2011 8:31,0:30:00,WM4378,35934,,7:00,15:00,,,,,2,0,0,0,0,0,V01,0,0
1,ONLEY,3/17/2011 4:00,2,3/17/2011 11:13,3/17/2011 11:43,0:30:00,WM5129,35931,,7:00,15:00,,,,,2,0,0,0,0,0,V02,0,0
5,ELDERSBURG,3/18/2011 6:00,1,3/18/2011 6:47,3/18/2011 7:17,0:30:00,WM2756,35939,,7:00,15:00,,,,,2,0,0,0,0,0,V03,0,0
5,ELDERSBURG,3/18/2011 6:00,2,3/18/2011 7:29,3/18/2011 7:59,0:30:00,WM2233,35916,,7:00,15:00,,,,,2,0,0,0,0,0,V04,0,0
5,ELDERSBURG,3/18/2011 6:00,3,3/18/2011 8:31,3/18/2011 9:01,0:30:00,WM2551,35926,,7:00,15:00,,,,,2,0,0,0,0,0,V05,0,0
5,ELDERSBURG,3/18/2011 6:00,4,3/18/2011 9:30,3/18/2011 10:00,0:30:00,WM2436,35921,,7:00,15:00,,,,,2,0,0,0,0,0,V06,0,0
5,ELDERSBURG,3/18/2011 6:00,5,3/18/2011 10:25,3/18/2011 10:55,0:30:00,WM2290,35937,,7:00,15:00,,,,,2,0,0,0,0,0,V07,0,0
5,ELDERSBURG,3/18/2011 6:00,6,3/18/2011 11:30,3/18/2011 12:00,0:30:00,WM1867,35918,,7:00,15:00,,,,,2,0,0,0,0,0,V08,0,0
4,ARBUTUS,3/18/2011 4:30,1,3/18/2011 5:53,3/18/2011 6:23,0:30:00,WM5228,35922,,,,,,,,2,0,0,0,0,0,V09,0,0
4,ARBUTUS,3/18/2011 4:30,2,3/18/2011 6:46,3/18/2011 7:16,0:30:00,WM1875,35927,,,,,,,,2,0,0,0,0,0,V10,0,0
4,ARBUTUS,3/18/2011 4:30,3,3/18/2011 7:26,3/18/2011 7:56,0:30:00,WM3490,35938,,7:00,15:00,,,,,2,0,0,0,0,0,V11,0,0
4,ARBUTUS,3/18/2011 4:30,4,3/18/2011 8:20,3/18/2011 8:50,0:30:00,WM3507,35935,,7:00,15:00,,,,,2,0,0,0,0,0,V12,0,0
4,ARBUTUS,3/18/2011 4:30,5,3/18/2011 9:01,3/18/2011 9:31,0:30:00,WM3720,35936,,7:00,15:00,,,,,2,0,0,0,0,0,V13,0,0
4,ARBUTUS,3/18/2011 4:30,6,3/18/2011 9:46,3/18/2011 10:16,0:30:00,WM2248,35923,,7:00,15:00,,,,,2,0,0,0,0,0,V14,0,0
3,ABERDEEN,3/17/2011 4:45,1,3/17/2011 7:05,3/17/2011 7:35,0:30:00,WM1860,35928,,7:00,15:00,,,,,2,0,0,0,0,0,V15,0,0
3,ABERDEEN,3/17/2011 4:45,2,3/17/2011 8:21,3/17/2011 8:51,0:30:00,WM1968,35920,,7:00,15:00,,,,,2,0,0,0,0,0,V16,0,0
3,ABERDEEN,3/17/2011 4:45,3,3/17/2011 9:13,3/17/2011 9:43,0:30:00,WM2009,35919,,7:00,15:00,,,,,2,0,0,0,0,0,V17,0,0
3,ABERDEEN,3/17/2011 4:45,4,3/17/2011 10:08,3/17/2011 10:38,0:30:00,WM3481,35929,,7:00,15:00,,,,,2,0,0,0,0,0,V18,0,0
3,ABERDEEN,3/17/2011 4:45,5,3/17/2011 10:55,3/17/2011 11:25,0:30:00,WM2435,35924,,7:00,15:00,,,,,2,0,0,0,0,0,V19,0,0
3,ABERDEEN,3/17/2011 4:45,6,3/17/2011 11:44,3/17/2011 12:14,0:30:00,WM2045,35917,,7:00,15:00,,,,,2,0,0,0,0,0,V20,0,0
3,ABERDEEN,3/17/2011 4:45,7,3/17/2011 12:34,3/17/2011 13:04,0:30:00,WM2577,35940,,,,,,,,2,0,0,0,0,0,V21,0,0
2,CLINTON,3/17/2011 4:30,1,3/17/2011 6:32,3/17/2011 7:02,0:30:00,WM2799,35932,,,,,,,,2,0,0,0,0,0,V22,0,0
2,CLINTON,3/17/2011 4:30,2,3/17/2011 7:26,3/17/2011 7:56,0:30:00,WM1717,35925,,7:00,15:00,,,,,2,0,0,0,0,0,V23,0,0
2,CLINTON,3/17/2011 4:30,3,3/17/2011 8:17,3/17/2011 8:47,0:30:00,WM2853,35933,,,,,,,,2,0,0,0,0,0,V24,0,0
2,CLINTON,3/17/2011 4:30,4,3/17/2011 9:30,3/17/2011 10:00,0:30:00,WM1716,35915,,7:00,15:00,,,,,2,0,0,0,0,0,V25,0,0
2,CLINTON,3/17/2011 4:30,5,3/17/2011 11:36,3/17/2011 12:06,0:30:00,WM2357,35930,,7:00,15:00,,,,,2,0,0,0,0,0,V26,0,0
