CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,COLOR INK INC SBT             ,20100915            ,20100915            ,'771527961                    ,0009238.36

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20100906                      ,'                             ,'0020100907         ,                    ,                         ,03097          ,00000056.5,0000000000,0000000000056.5,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,03097          ,00000071.1,0000000000,0000000000071.1,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,03097          ,0000054.19,0000000000,000000000054.19,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,03097          ,0000000051,0000000000,000000000000051,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03097          ,0000000045,0000000000,000000000000045,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03097          ,0000050.75,0000000000,000000000050.75,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03097          ,0000000120,0000000000,000000000000120,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,03184          ,0000000027,0000000000,000000000000027,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,03184          ,0000000007,0000000000,000000000000007,                         ,                         ,,20100907                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,03184          ,0000004.75,0000000000,000000000004.75,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03184          ,0000011.25,0000000000,000000000011.25,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03184          ,00000025.5,0000000000,0000000000025.5,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03184          ,0000000017,0000000000,000000000000017,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,03322          ,0000030.75,0000000000,000000000030.75,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,03322          ,0000000003,0000000000,000000000000003,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,03322          ,0000024.25,0000000000,000000000024.25,                         ,                         ,,20100908                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03322          ,0000000046,0000000000,000000000000046,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03322          ,00000046.5,0000000000,0000000000046.5,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03322          ,0000004.75,0000000000,000000000004.75,                         ,                         ,,20100912                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,03541          ,0000000004,0000000000,000000000000004,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03541          ,0000000014,0000000000,000000000000014,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03541          ,0000000056,0000000000,000000000000056,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03541          ,0000000018,0000000000,000000000000018,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,03579          ,00000024.5,0000000000,0000000000024.5,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,03579          ,0000015.75,0000000000,000000000015.75,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,03579          ,0000019.25,0000000000,000000000019.25,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,03579          ,0000000014,0000000000,000000000000014,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03579          ,0000005.25,0000000000,000000000005.25,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03579          ,0000000039,0000000000,000000000000039,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03579          ,0000000032,0000000000,000000000000032,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,03585          ,0000046.14,0000000000,000000000046.14,                         ,                         ,,20100906                      ,0000000000,'043                
